is_coea_point	is_ea_point	fevals	f1	f2	pred	prey	rel_pred_distances	rel_prey_distances	experiment
false	false	5040000	0.406284	0.645101	[| 0.0971945198487 ; 0.85675073343 ; -0.868990126466 ; -0.849107072065 ; -0.111241684882 ; -0.923034913022 ; -0.794613676852 ; -0.121483299511 ; -0.199052443188 ; -0.422997540634 ; -0.00838887953606 ; -0.543972981167 ; -0.630039123129 ; -0.893206913588 ; 0.347216073162 ; 0.231832961865 ; 0.820291590273 ; 0.0308458997545 ; 0.0164276113277 ; 0.361767642729 ; 0.805890740439 ; 0.0729290096646 |]	[| 4 ; 14.2090184544 ; 14.273812607 ; 14.2037643741 ; 15.1804802179 ; 14.5038790154 ; 15.0065165488 ; 14.5250283551 ; 3.94569407201 ; 4.10473900079 ; 4.40364865488 ; 4.05585284669 ; 4.63896999759 ; 4.67501406993 ; 4.56140891493 |]	0.,8.16782446475,2.14139963421,9.13665279475	0.,0.328765935196,0.,4.83405417615	job_3500625.out
false	false	5040000	0.441106	0.641581	[| 0.705698651536 ; 0.121466937009 ; 0.528710586023 ; -0.664700252958 ; -0.455152256398 ; -0.571028786519 ; -0.362865242976 ; -0.43439898942 ; -0.218948578437 ; -0.860666840213 ; -0.873200079702 ; 0.817350628107 ; 0.297692201773 ; 0.733632169161 ; 0.57767820347 ; 0.300001695784 ; 0.800720605741 ; 0.627804437956 ; 0.583761628422 ; 0.00960379901701 ; 0.0585966025414 ; 0.18453365798 |]	[| 4 ; 11.8011522812 ; 14.273812607 ; 14.2037643741 ; 15.1804802179 ; 14.5038790154 ; 15.0065165488 ; 14.5250283551 ; 4.32996777901 ; 3.90628437463 ; 4.40364865488 ; 4.05585284669 ; 4.59459635373 ; 4.67501406993 ; 4.56140891493 |]	8.16782446475,0.,7.36391095071,2.34049811505	0.328765935196,0.,0.328765935196,5.10597813542	job_3500625.out
false	false	5040000	0.449961	0.640528	[| 0.0971945198487 ; 0.737937089156 ; -0.868990126466 ; -0.939868584307 ; -0.111241684882 ; -0.944251256496 ; -0.794613676852 ; -0.121483299511 ; -0.0842282885553 ; -0.03798237319 ; 0.11668409364 ; -0.75581451548 ; -0.926084928346 ; -0.238499898577 ; 0.390018259264 ; 0.335324416394 ; 0.802905465937 ; 0.303425638307 ; 0.00539601709889 ; 0.268490521733 ; 0.374001856544 ; 0.173315644207 |]	[| 4 ; 14.2090184544 ; 14.273812607 ; 14.2037643741 ; 15.1804802179 ; 14.5038790154 ; 15.0065165488 ; 14.5250283551 ; 3.94569407201 ; 4.10473900079 ; 4.40364865488 ; 4.05585284669 ; 4.63896999759 ; 4.67501406993 ; 4.56140891493 |]	2.14139963421,7.36391095071,0.,8.26488131341	0.,0.328765935196,0.,4.83405417615	job_3500625.out
false	false	5040000	0.464297	0.629080	[| 0.705698651536 ; 0.121466937009 ; 0.528710586023 ; -0.147844957333 ; -0.699113947053 ; -0.43400025071 ; 0.0174515380468 ; -0.43439898942 ; 0.0279223125099 ; -0.865896200686 ; -0.0392412118756 ; 0.932667599778 ; 0.431680177945 ; 0.696125822704 ; 0.66698165714 ; 0.40790029372 ; 0.431095965051 ; 0.835805284623 ; 0.413631238711 ; 0.00960379901701 ; 0.0585966025414 ; 0.114509829932 |]	[| 90 ; 17.854101341 ; 11.3182156761 ; 9.50703529921 ; 19.5922113275 ; 10.2460372429 ; 18.3432656256 ; 7.79381945071 ; 4.01500438001 ; 4.48303344124 ; 3.86969660956 ; 3.01204123163 ; 4.40192578188 ; 1.57307862475 ; 3.1709516388 |]	9.13665279475,2.34049811505,8.26488131341,0.	4.83405417615,5.10597813542,4.83405417615,0.	job_3500625.out
true	false	5040000	0.411792	0.643500	[| 0.449088585169 ; 0.0265099685983 ; 0.874628720879 ; -0.606231239392 ; 0.117303183249 ; 0.357724998493 ; -0.654360314012 ; 0.829848400163 ; 0.978357452589 ; 0.625525568428 ; 0.291633569205 ; -0.826168362539 ; 0.515451380199 ; 0.896481340807 ; 0.27109830075 ; 0.00392116839176 ; 0.9227658931 ; 0.279989387783 ; 0.162469250179 ; 0.158316516973 ; 0.237422272709 ; 0.232921527439 |]	[| 4 ; 14.2090184544 ; 14.273812607 ; 14.2037643741 ; 15.1804802179 ; 14.5038790154 ; 15.0065165488 ; 14.5250283551 ; 3.94569407201 ; 4.10473900079 ; 4.40364865488 ; 4.05585284669 ; 4.63896999759 ; 4.67501406993 ; 4.56140891493 |]	8.08109299443,6.88820556974,6.74401224059,7.47812762105	0.,0.328765935196,0.,4.83405417615	job_3500625.out
false	true	5040000	0.594334	0.710264	[| 0.107683532579 ; 0.518884253218 ; 0.400736072016 ; -0.953806304597 ; -0.339737380942 ; 0.696493261637 ; -0.721683791558 ; -0.911429444177 ; -0.14305564465 ; -0.00302358726676 ; -0.372391808608 ; 0.154739783761 ; 0.620102918709 ; -0.786155206243 ; 0.429317057829 ; 0.187625879865 ; 0.794678437735 ; 0.814827641804 ; 0.000363116291943 ; 0.000515534918651 ; 0.74377866592 ; 0.863655396722 |]	[| 164 ; 14.4548861819 ; 8.62641603548 ; 8.94873957302 ; 8.95509058566 ; 9.1916867939 ; 8.31081634318 ; 8.45222023096 ; 4.71100878729 ; 4.31951443972 ; 1.48836693232 ; 4.15001427423 ; 2.23578443377 ; 3.0084682265 ; 3.61346202095 |]	6.00501628201,6.69353529048,6.07081249555,7.42241781909	5.7842585645,5.89870082427,5.7842585645,5.17940484941	job_3500625.out
false	false	10080000	0.373300	0.666633	[| 0.699679449629 ; 0.953917303548 ; 0.058496988736 ; -0.648297522215 ; -0.111241684882 ; -0.916617364211 ; -0.0436557451196 ; -0.0546312613563 ; -0.266789115106 ; -0.803703711907 ; -0.075072156826 ; -0.537556440814 ; -0.915124441033 ; -0.955366821748 ; 0.340671810849 ; 0.797476296282 ; 0.841268691143 ; 0.0942020479621 ; 0.00172882501173 ; 0.0690916291034 ; 0.923441844187 ; 0.539487321159 |]	[| 152 ; 14.0012754736 ; 13.8743429796 ; 14.6611788046 ; 15.1219320075 ; 14.5091955943 ; 15.0065165488 ; 14.5250283551 ; 4.72522434082 ; 4.48546905038 ; 4.67540623671 ; 4.86155032282 ; 4.67277426535 ; 4.67501406993 ; 4.56140891493 |]	0.,3.53666463103,3.02460235021,4.97947357984,6.94824592383,4.85630302977,4.76648058757	0.,0.1714444461,0.152177351227,0.152177351227,6.46156467346,6.22743461401,1.53732236067	job_3500625.out
false	false	10080000	0.375498	0.666363	[| 0.440961526756 ; 0.944073209106 ; 0.058496988736 ; -0.453726945954 ; -0.111241684882 ; 0.245904517561 ; 0.0479606110844 ; -0.672123118774 ; -0.676376204473 ; -0.144703978303 ; -0.422742813496 ; 0.880103441577 ; -0.186122209206 ; -0.754915455721 ; 0.340671810849 ; 0.734378926218 ; 0.844609533081 ; 0.0718288120157 ; 0.00173596512197 ; 0.208207589687 ; 0.828331840388 ; 0.569759566657 |]	[| 152 ; 14.0012754736 ; 14.7053718234 ; 14.6611788046 ; 15.1219320075 ; 14.5091955943 ; 15.4016392452 ; 14.5250283551 ; 4.72522434082 ; 4.48546905038 ; 4.67540623671 ; 4.86155032282 ; 4.60310593927 ; 4.40923362309 ; 4.56140891493 |]	3.53666463103,0.,3.35923362326,4.67696242844,6.9070941757,4.29947109134,4.61252552203	0.1714444461,0.,0.204903391065,0.204903391065,6.40883863362,6.17470857417,1.63479758327	job_3500625.out
false	false	10080000	0.432960	0.665727	[| 0.500675590414 ; 0.970707729748 ; 0.225833147626 ; -0.932976177038 ; -0.114484301083 ; -0.916617364211 ; 0.443907853111 ; 0.0606059338987 ; -0.31271266869 ; -0.0147424704813 ; 0.201656167106 ; 0.618471061368 ; -0.853486231361 ; -0.494931612958 ; 0.359939848867 ; 0.72781279955 ; 0.441373266456 ; 0.0977231481797 ; 0.00338010639226 ; 0.25616228193 ; 0.861250101311 ; 0.681147517721 |]	[| 152 ; 14.0012754736 ; 15.1783090413 ; 15.4876956601 ; 15.1219320075 ; 14.5091955943 ; 15.0065165488 ; 14.5250283551 ; 4.72522434082 ; 4.48546905038 ; 4.67540623671 ; 4.86155032282 ; 4.67277426535 ; 4.67501406993 ; 4.56140891493 |]	3.02460235021,3.35923362326,0.,4.75920330445,7.40975056277,5.11323789489,5.0105615366	0.152177351227,0.204903391065,0.,0.,6.49566818819,6.26153812873,1.51435878577	job_3500625.out
false	false	10080000	0.464076	0.664079	[| 0.11665855939 ; 0.951655909856 ; 0.691187611361 ; -0.849509296596 ; 0.0344816704278 ; 0.139505494546 ; -0.825534406343 ; 0.838967908818 ; -0.0307144040575 ; -0.0939691976861 ; -0.303188275767 ; -0.0649355602133 ; -0.492464451051 ; -0.655226288661 ; 0.344266830528 ; 0.890905380068 ; 0.627633924713 ; 0.106404846582 ; 0.00506282920114 ; 0.614674687202 ; 0.962051190312 ; 0.0959706973507 |]	[| 152 ; 14.0012754736 ; 15.1783090413 ; 15.4876956601 ; 15.1219320075 ; 14.5091955943 ; 15.0065165488 ; 14.5250283551 ; 4.72522434082 ; 4.48546905038 ; 4.67540623671 ; 4.86155032282 ; 4.67277426535 ; 4.67501406993 ; 4.56140891493 |]	4.97947357984,4.67696242844,4.75920330445,0.,9.22023511695,3.093429145,6.36501350908	0.152177351227,0.204903391065,0.,0.,6.49566818819,6.26153812873,1.51435878577	job_3500625.out
